id,title,channel,categories,text_length,attachments_count,images_count,url,markdown_path
1,苏州市电化教育馆（苏州市人工智能教育创新中心）主要职能,关于电教馆,TypeID 30、TypeID 31、TypeID 34、TypeID 35、TypeID 47、专题报道、中心机房、信息技能培训、公告通知、图文报道、工会之家、网络活动、网络通告、退教协活动,306,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=1,suzhou_djg_site_crawl_2026-05-15\articles\1_苏州市电化教育馆（苏州市人工智能教育创新中心）主要职能.md
3,领导分工,关于电教馆,TypeID 30、TypeID 31、TypeID 34、TypeID 35、TypeID 47、专题报道、中心机房、信息技能培训、公告通知、图文报道、工会之家、网络活动、网络通告、退教协活动,299,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=3,suzhou_djg_site_crawl_2026-05-15\articles\3_领导分工.md
24,研培中心部门介绍,教育信息化科研,TypeID 30,589,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=24,suzhou_djg_site_crawl_2026-05-15\articles\24_研培中心部门介绍.md
26,关于转发苏州市教育学会评选优秀教学案例的通知,公告通知,公告通知,518,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=26,suzhou_djg_site_crawl_2026-05-15\articles\26_关于转发苏州市教育学会评选优秀教学案例的通知.md
27,关于填报“青少年三维创意设计教育促进项目”调查问卷的通知,公告通知,公告通知,362,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=27,suzhou_djg_site_crawl_2026-05-15\articles\27_关于填报“青少年三维创意设计教育促进项目”调查问卷的通知.md
28,关于开展“2016 年苏州市中小学电脑制作活动”的通知,公告通知,公告通知,1226,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=28,suzhou_djg_site_crawl_2026-05-15\articles\28_关于开展“2016 年苏州市中小学电脑制作活动”的通知.md
29,关于“首批苏州教育网络电视台基地校”挂牌的通知,公告通知,公告通知,349,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=29,suzhou_djg_site_crawl_2026-05-15\articles\29_关于“首批苏州教育网络电视台基地校”挂牌的通知.md
30,E卡通 Q&A,E卡通,TypeID 30、TypeID 31、TypeID 34、TypeID 35、TypeID 47、专题报道、中心机房、信息技能培训、公告通知、图文报道、工会之家、网络活动、网络通告、退教协活动,3032,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=30,suzhou_djg_site_crawl_2026-05-15\articles\30_E卡通 Q&A.md
31,关于举办2016年苏州市中小学教师信息技术应用,公告通知,公告通知,633,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=31,suzhou_djg_site_crawl_2026-05-15\articles\31_关于举办2016年苏州市中小学教师信息技术应用.md
32,关于举办《2016年中国教育电视优秀教学课例》,公告通知,公告通知,469,0,1,https://szdjg.suzhou.edu.cn/NewsDetail.aspx?ID=32,suzhou_djg_site_crawl_2026-05-15\articles\32_关于举办《2016年中国教育电视优秀教学课例》.md
